company_name,screener_url,market_cap_text,market_cap_cr,result_pdf_link
HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/,"12,31,316 Cr",1231316.0,https://www.screener.in/company/source/quarter/1298/3/2026/
ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/,"9,64,507 Cr",964507.0,https://www.screener.in/company/source/quarter/1384/3/2026/
Netwrk.18 Media,https://www.screener.in/company/NETWORK18/consolidated/,"5,607 Cr",5607.0,https://www.screener.in/company/source/quarter/2241/3/2026/
Yes Bank,https://www.screener.in/company/YESBANK/consolidated/,"63,357 Cr",63357.0,https://www.screener.in/company/source/quarter/3783/3/2026/
Hathway Cable,https://www.screener.in/company/HATHWAY/consolidated/,"2,052 Cr",2052.0,https://www.screener.in/company/source/quarter/1286/3/2026/
Adit.Birla Money,https://www.screener.in/company/BIRLAMONEY/,799 Cr,799.0,https://www.screener.in/company/source/quarter/69/3/2026/
National Standar,https://www.screener.in/company/504882/,"2,839 Cr",2839.0,https://www.screener.in/company/source/quarter/1267859/3/2026/
Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/,"1,54,928 Cr",154928.0,https://www.screener.in/company/source/quarter/1284422/3/2026/
Mastek,https://www.screener.in/company/MASTEK/consolidated/,"5,412 Cr",5412.0,https://www.screener.in/company/source/quarter/2026/3/2026/
Bajaj Consumer,https://www.screener.in/company/BAJAJCON/consolidated/,"6,138 Cr",6138.0,https://www.screener.in/company/source/quarter/370/3/2026/
CRISIL,https://www.screener.in/company/CRISIL/consolidated/,"31,705 Cr",31705.0,https://www.screener.in/company/source/quarter/737/3/2026/
M B Agro Prod.,https://www.screener.in/company/MBAPL/,"4,465 Cr",4465.0,https://www.screener.in/company/source/quarter/1273482/3/2026/
VST Industries,https://www.screener.in/company/VSTIND/,"4,498 Cr",4498.0,https://www.screener.in/company/source/quarter/3711/3/2026/
Waaree Renewab.,https://www.screener.in/company/WAAREERTL/consolidated/,"11,646 Cr",11646.0,https://www.screener.in/company/source/quarter/49530/3/2026/
Angel One,https://www.screener.in/company/ANGELONE/consolidated/,"29,372 Cr",29372.0,https://www.screener.in/company/source/quarter/1274790/3/2026/
TCS,https://www.screener.in/company/TCS/consolidated/,"9,34,009 Cr",934009.0,https://www.screener.in/company/source/quarter/3365/3/2026/
Alok Industries,https://www.screener.in/company/ALOKINDS/consolidated/,"7,095 Cr",7095.0,https://www.screener.in/company/source/quarter/142/3/2026/
Wipro,https://www.screener.in/company/WIPRO/consolidated/,"2,14,301 Cr",214301.0,https://www.screener.in/company/source/quarter/3763/3/2026/
HDFC Life Insur.,https://www.screener.in/company/HDFCLIFE/consolidated/,"1,33,019 Cr",133019.0,https://www.screener.in/company/source/quarter/1274197/3/2026/
HDFC AMC,https://www.screener.in/company/HDFCAMC/,"1,19,626 Cr",119626.0,https://www.screener.in/company/source/quarter/1274395/3/2026/
SG Finserve,https://www.screener.in/company/SGFIN/,"3,385 Cr",3385.0,https://www.screener.in/company/source/quarter/1270884/3/2026/
Rel. Indl. Infra,https://www.screener.in/company/RIIL/consolidated/,"1,212 Cr",1212.0,https://www.screener.in/company/source/quarter/2725/3/2026/
GTPL Hathway,https://www.screener.in/company/GTPL/consolidated/,782 Cr,782.0,https://www.screener.in/company/source/quarter/1274089/3/2026/
Tejas Networks,https://www.screener.in/company/TEJASNET/consolidated/,"7,546 Cr",7546.0,https://www.screener.in/company/source/quarter/1274086/3/2026/
Lotus Chocolate,https://www.screener.in/company/523475/,981 Cr,981.0,https://www.screener.in/company/source/quarter/1914/3/2026/
ICICI Lombard,https://www.screener.in/company/ICICIGI/,"94,307 Cr",94307.0,https://www.screener.in/company/source/quarter/1274145/3/2026/
Media Matrix,https://www.screener.in/company/512267/consolidated/,"1,204 Cr",1204.0,https://www.screener.in/company/source/quarter/2048/3/2026/
HDB FINANC SER,https://www.screener.in/company/HDBFS/,"56,628 Cr",56628.0,https://www.screener.in/company/source/quarter/1285509/3/2026/
Elecon Engg.Co,https://www.screener.in/company/ELECON/consolidated/,"9,262 Cr",9262.0,https://www.screener.in/company/source/quarter/903/3/2026/
Nuvoco Vistas,https://www.screener.in/company/NUVOCO/consolidated/,"11,122 Cr",11122.0,https://www.screener.in/company/source/quarter/1274910/3/2026/
Den Networks,https://www.screener.in/company/DEN/consolidated/,"1,395 Cr",1395.0,https://www.screener.in/company/source/quarter/792/3/2026/
Anand Rathi Shar,https://www.screener.in/company/ARSSBL/,"3,621 Cr",3621.0,https://www.screener.in/company/source/quarter/1285676/3/2026/
ICICI Pru Life,https://www.screener.in/company/ICICIPRULI/consolidated/,"81,466 Cr",81466.0,https://www.screener.in/company/source/quarter/1273517/3/2026/
Eimco Elecon(I),https://www.screener.in/company/EIMCOELECO/,957 Cr,957.0,https://www.screener.in/company/source/quarter/892/3/2026/
Parin Enterpris.,https://www.screener.in/company/PARIN/consolidated/,704 Cr,704.0,https://www.screener.in/company/source/quarter/1274575/3/2026/
Just Dial,https://www.screener.in/company/JUSTDIAL/,"4,675 Cr",4675.0,https://www.screener.in/company/source/quarter/400458/3/2026/
ICICI AMC,https://www.screener.in/company/ICICIAMC/,"1,65,028 Cr",165028.0,https://www.screener.in/company/source/quarter/1285819/3/2026/
Swaraj Engines,https://www.screener.in/company/SWARAJENG/,"4,925 Cr",4925.0,https://www.screener.in/company/source/quarter/3316/3/2026/
Aqylon Nexus,https://www.screener.in/company/AQYLON/,"1,153 Cr",1153.0,https://www.screener.in/company/source/quarter/3163/3/2026/
Vashu Bhagnani,https://www.screener.in/company/532011/consolidated/,730 Cr,730.0,https://www.screener.in/company/source/quarter/1270084/3/2026/
Krishana Phosch.,https://www.screener.in/company/KRISHANA/,"3,791 Cr",3791.0,https://www.screener.in/company/source/quarter/1273647/3/2026/
G M Breweries,https://www.screener.in/company/GMBREW/,"2,255 Cr",2255.0,https://www.screener.in/company/source/quarter/1065/3/2026/
Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/,"30,633 Cr",30633.0,https://www.screener.in/company/source/quarter/1275117/3/2026/
Kesar India,https://www.screener.in/company/543542/consolidated/,"3,473 Cr",3473.0,https://www.screener.in/company/source/quarter/1275247/3/2026/
