company_name,screener_url,result_pdf_link,price,market_cap_text,market_cap_cr,pe,sales_latest_qtr_cr,sales_yoy_pct,net_profit_latest_qtr_cr,net_profit_yoy_pct
Nilachal Refract,https://www.screener.in/company/502294/#/#,https://www.screener.in/company/source/quarter/2266/3/2026/,44.6,90.7 Cr,90.7,,0.49,36.0,-0.36,98.0
Punctual Trading,https://www.screener.in/company/512461/#/#,https://www.screener.in/company/source/quarter/1268318/3/2026/,,,,,0.0,,0.38,169.0
Mangalam Global,https://www.screener.in/company/MGEL/consolidated/#/#,https://www.screener.in/company/source/quarter/1274713/3/2026/,12.9,425 Cr,425.0,11.7,1064.0,98.0,12.5,161.0
Virgo Global,https://www.screener.in/company/532354/#/#,https://www.screener.in/company/source/quarter/3677/3/2026/,5.56,5.84 Cr,5.84,,0.92,,0.82,32.0
HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/#/#,https://www.screener.in/company/source/quarter/1298/3/2026/,800.0,"12,31,316 Cr",1231316.0,16.2,87182.0,0.0,21074.0,8.0
ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/#/#,https://www.screener.in/company/source/quarter/1384/3/2026/,1347.0,"9,64,507 Cr",964507.0,17.8,49594.0,2.0,15681.0,9.0
Netwrk.18 Media,https://www.screener.in/company/NETWORK18/consolidated/#/#,https://www.screener.in/company/source/quarter/2241/3/2026/,36.4,"5,607 Cr",5607.0,152.8,616.0,10.0,-29.6,9.0
Yes Bank,https://www.screener.in/company/YESBANK/consolidated/#/#,https://www.screener.in/company/source/quarter/3783/3/2026/,20.2,"63,357 Cr",63357.0,18.0,7662.0,1.0,1082.0,45.0
GSM Foils,https://www.screener.in/company/GSMFOILS/#/#,https://www.screener.in/company/source/quarter/1284791/3/2026/,230.0,324 Cr,324.0,16.3,81.7,79.0,6.28,84.0
Infomedia Press,https://www.screener.in/company/INFOMEDIA/#/#,https://www.screener.in/company/source/quarter/1487/3/2026/,6.09,30.6 Cr,30.6,,0.0,,-0.81,14.0
Hathway Cable,https://www.screener.in/company/HATHWAY/consolidated/#/#,https://www.screener.in/company/source/quarter/1286/3/2026/,11.6,"2,052 Cr",2052.0,24.9,546.0,6.0,11.2,-68.0
Eco Hotels,https://www.screener.in/company/514402/consolidated/#/#,https://www.screener.in/company/source/quarter/729818/3/2026/,18.0,94.3 Cr,94.3,,2.47,1800.0,-5.5,-467.0
Wherrelz IT,https://www.screener.in/company/543436/#/#,https://www.screener.in/company/source/quarter/1275132/3/2026/,157.0,6.10 Cr,6.1,27.7,6.86,192.0,-0.01,100.0
PropsharePlatina,https://www.screener.in/company/544295/consolidated/#/#,https://www.screener.in/company/source/quarter/1285178/3/2026/,1060000.0,356 Cr,356.0,15.2,7.71,1.0,1.01,-20.0
PropshareTitania,https://www.screener.in/company/544462/consolidated/#/#,https://www.screener.in/company/source/quarter/1285549/3/2026/,1111111.0,496 Cr,496.0,,11.7,,-11.9,-59450.0
Adit.Birla Money,https://www.screener.in/company/BIRLAMONEY/#/#,https://www.screener.in/company/source/quarter/69/3/2026/,141.0,799 Cr,799.0,13.1,130.0,30.0,18.7,101.0
Bridge Securitie,https://www.screener.in/company/530249/#/#,https://www.screener.in/company/source/quarter/548/3/2026/,16.7,64.8 Cr,64.8,41.8,0.8,,0.39,181.0
Yuranus Infrast.,https://www.screener.in/company/536846/#/#,https://www.screener.in/company/source/quarter/647922/3/2026/,145.0,50.6 Cr,50.6,129.8,6.07,61.0,0.8,600.0
National Standar,https://www.screener.in/company/504882/#/#,https://www.screener.in/company/source/quarter/1267859/3/2026/,1420.0,"2,839 Cr",2839.0,293.9,0.0,-100.0,1.16,-68.0
Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/#/#,https://www.screener.in/company/source/quarter/1284422/3/2026/,244.0,"1,54,928 Cr",154928.0,100.8,1019.0,106.0,272.0,-14.0
Sanathnagar Ent.,https://www.screener.in/company/509423/#/#,https://www.screener.in/company/source/quarter/1268089/3/2026/,39.7,12.5 Cr,12.5,125.0,0.0,,0.21,-48.0
Mastek,https://www.screener.in/company/MASTEK/consolidated/#/#,https://www.screener.in/company/source/quarter/2026/3/2026/,1746.0,"5,412 Cr",5412.0,12.8,938.0,4.0,106.0,41.0
Bajaj Consumer,https://www.screener.in/company/BAJAJCON/consolidated/#/#,https://www.screener.in/company/source/quarter/370/3/2026/,470.0,"6,138 Cr",6138.0,32.3,327.0,30.0,63.6,105.0
CRISIL,https://www.screener.in/company/CRISIL/consolidated/#/#,https://www.screener.in/company/source/quarter/737/3/2026/,4335.0,"31,705 Cr",31705.0,37.8,1058.0,30.0,233.0,46.0
M B Agro Prod.,https://www.screener.in/company/MBAPL/#/#,https://www.screener.in/company/source/quarter/1273482/3/2026/,510.0,"4,465 Cr",4465.0,29.7,395.0,33.0,59.8,319.0
Lloyds Luxuries,https://www.screener.in/company/LLOYDS/#/#,https://www.screener.in/company/source/quarter/1275321/3/2026/,81.4,197 Cr,197.0,,33.2,36.0,0.36,108.0
VST Industries,https://www.screener.in/company/VSTIND/#/#,https://www.screener.in/company/source/quarter/3711/3/2026/,265.0,"4,498 Cr",4498.0,15.4,457.0,31.0,117.0,120.0
Roselabs Finance,https://www.screener.in/company/531324/#/#,https://www.screener.in/company/source/quarter/2781/3/2026/,23.9,23.9 Cr,23.9,,0.0,-100.0,-0.16,-220.0
Waaree Renewab.,https://www.screener.in/company/WAAREERTL/consolidated/#/#,https://www.screener.in/company/source/quarter/49530/3/2026/,1116.0,"11,646 Cr",11646.0,24.3,1102.0,131.0,156.0,61.0
Angel One,https://www.screener.in/company/ANGELONE/consolidated/#/#,https://www.screener.in/company/source/quarter/1274790/3/2026/,322.0,"29,372 Cr",29372.0,32.1,1459.0,38.0,320.0,84.0
TCS,https://www.screener.in/company/TCS/consolidated/#/#,https://www.screener.in/company/source/quarter/3365/3/2026/,2582.0,"9,34,009 Cr",934009.0,17.9,70698.0,10.0,13784.0,12.0
Ganesh Holdings,https://www.screener.in/company/504397/#/#,https://www.screener.in/company/source/quarter/1090/3/2026/,92.1,8.21 Cr,8.21,31.6,0.39,1200.0,0.34,255.0
Alok Industries,https://www.screener.in/company/ALOKINDS/consolidated/#/#,https://www.screener.in/company/source/quarter/142/3/2026/,14.3,"7,095 Cr",7095.0,,983.0,3.0,-193.0,-14.0
Wipro,https://www.screener.in/company/WIPRO/consolidated/#/#,https://www.screener.in/company/source/quarter/3763/3/2026/,204.0,"2,14,301 Cr",214301.0,16.2,24236.0,8.0,3522.0,-2.0
HDFC Life Insur.,https://www.screener.in/company/HDFCLIFE/consolidated/#/#,https://www.screener.in/company/source/quarter/1274197/3/2026/,616.0,"1,33,019 Cr",133019.0,69.6,19890.0,-18.0,497.0,5.0
HDFC AMC,https://www.screener.in/company/HDFCAMC/#/#,https://www.screener.in/company/source/quarter/1274395/3/2026/,2792.0,"1,19,626 Cr",119626.0,41.8,1050.0,17.0,623.0,-2.0
SG Finserve,https://www.screener.in/company/SGFIN/#/#,https://www.screener.in/company/source/quarter/1270884/3/2026/,514.0,"3,385 Cr",3385.0,26.5,105.0,95.0,42.3,78.0
